date,win_rate,pnl_sum,pnl_mean,volume_tokens,fees_sum,trade_value_sum,trades,avg_fee_rate
2023-04-30,,0.0,0.0,0.25129999999999997,0.0,476.99281,3,0.0
2023-12-04,,0.0,0.0,11.80901,12.501455,50005.82917,9,0.00024999995415534473
2023-12-13,33.33333333333333,-281.80463900000007,-93.93487966666669,11.80901,12.694600000000001,50778.402760000004,3,0.0002499999864115458
2023-12-14,60.0,51.737868,5.1737868,7638.48,18.258720000000004,73034.89871000001,10,0.0002499999359552751
2023-12-16,100.0,329.708097,29.973463363636366,79821.2486,23.043260999999998,92173.06285,11,0.00024999994887334913
2023-12-17,0.0,-24.725312000000002,-4.120885333333333,46322.200000000004,9.863427000000001,39453.716610999996,6,0.0002499999454360658
2023-12-18,,0.0,0.0,14.306,7.791045,31164.1856,2,0.0002499999550766377
2023-12-19,100.0,1062.278674,42.491146959999995,168430.506,43.229147000000005,172916.63439000002,25,0.00024999993293010794
2023-12-20,95.23809523809523,230.269674,5.616333512195122,168545.86000000002,35.8655,143462.08341000002,41,0.00024999985464800513
2023-12-21,100.0,407.933948,19.425426095238095,455.11455,17.9079,71631.64353999999,21,0.00024999984804201805
2023-12-22,100.0,288.769379,16.042743277777777,144115.47454999998,34.443826,137775.33877999996,18,0.0002499999368900119
2023-12-23,84.61538461538461,891.334604,25.46670297142857,284659.24256,75.72647500000001,302905.95896,35,0.00024999995133803227
2023-12-24,80.0,-127.795996,-18.256570857142854,49.334720000000004,39.999365000000004,159997.47372,7,0.0002499999785621615
2023-12-26,100.0,790.0414470000001,87.78238300000001,152046.0,12.791529,51166.13125,9,0.00024999992548781967
2023-12-27,0.0,-1494.930674,-78.68056178947369,303494.0,30.061217999999997,120244.90483000003,19,0.00024999993174346953
2023-12-28,40.909090909090914,-818.801864,-20.4700466,272327.4,50.406932,201627.80945,40,0.0002499998990094667
2023-12-29,54.83870967741935,630.4204369999998,8.879161084507043,165601.18315999996,242.373137,969492.6881100002,71,0.0002499999638702793
2023-12-30,92.3076923076923,81.57134200000002,5.826524428571427,66.91174000000001,50.276658,201106.65491000004,14,0.00024999997152008713
2023-12-31,,0.0,0.0,23.293320000000005,25.339212999999997,101356.86809999999,8,0.0002499999602888282
2024-01-01,14.285714285714285,-382.32568100000003,-20.122404263157897,108265.84818,68.79475000000001,275179.04143899994,19,0.00024999996235269253
2024-01-02,63.1578947368421,1020.480503,28.346680638888888,162702.30000000002,31.751449000000004,127005.866697,36,0.00024999986083910566
2024-01-03,88.88888888888889,814.7047009999999,18.51601593181818,5952.9232,94.084574,376338.3705,44,0.00024999995050996267
2024-01-04,100.0,285.107453,95.03581766666667,2.26186,25.17222,100688.88476,3,0.0002499999881814164
2024-01-05,64.70588235294117,14.615776000000032,0.1719503058823535,7326.9724400000005,475.44376099999994,1901775.1953899998,85,0.00024999998009885704
2024-01-06,20.0,-453.55851600000005,-18.8982715,5012.4467,59.949885,239799.59402,24,0.00024999994368213985
2024-01-07,39.189189189189186,-589.51939,-4.065650965517241,265091.05085999996,381.593025,1526372.3778610001,145,0.00024999995448997175
2024-01-08,61.53846153846154,341.16013099999975,3.2491441047619047,132463.58182000002,319.306983,1277228.0947899998,105,0.0002499999681360752
2024-01-09,42.68292682926829,-3736.6645829999993,-18.777208959798994,105631.42877,491.259901,2334939.807612,199,0.0002103951028623832
2024-01-10,92.85714285714286,1032.966932,44.91160573913044,94784.18651,53.73621299999999,220344.82505,23,0.0002438732699431735
2024-01-11,33.33333333333333,-342.98503400000004,-19.05472411111111,828.0313100000001,88.368035,355317.53569,18,0.0002487015869576938
