date,sentiment_value,sentiment_class,roll_7d_mean,roll_30d_mean,roll_7d_std
2018-02-01,30,Fear,,,
2018-02-02,15,Extreme Fear,,,
2018-02-03,40,Fear,28.333333333333332,,12.583057392117917
2018-02-04,24,Extreme Fear,27.25,,10.5
2018-02-05,11,Extreme Fear,24.0,,11.640446726822816
2018-02-06,8,Extreme Fear,21.333333333333332,,12.290918056299402
2018-02-07,36,Fear,23.428571428571427,23.428571428571427,12.51475319848728
2018-02-08,30,Fear,23.428571428571427,24.25,12.51475319848728
2018-02-09,44,Fear,27.571428571428573,26.444444444444443,13.974466511667424
2018-02-10,54,Neutral,29.571428571428573,29.2,16.771574591722576
2018-02-11,31,Fear,30.571428571428573,29.363636363636363,16.591736325222694
2018-02-12,42,Fear,35.0,30.416666666666668,14.502873278538063
2018-02-13,35,Fear,38.857142857142854,30.76923076923077,8.45435925876057
2018-02-14,55,Greed,41.57142857142857,32.5,10.2446269308541
2018-02-15,71,Greed,47.42857142857143,35.06666666666667,13.673053095500693
2018-02-16,67,Greed,50.714285714285715,37.0625,15.370038882126984
2018-02-17,74,Greed,53.57142857142857,39.23529411764706,17.756286613076348
2018-02-18,63,Greed,58.142857142857146,40.55555555555556,14.85966095876766
2018-02-19,67,Greed,61.714285714285715,41.94736842105263,13.250336922940056
2018-02-20,74,Greed,67.28571428571429,43.55,6.750661343263224
2018-02-21,54,Neutral,67.14285714285714,44.04761904761905,7.057586259446191
2018-02-22,44,Fear,63.285714285714285,44.04545454545455,10.919619738713214
2018-02-23,39,Fear,59.285714285714285,43.82608695652174,14.02039331015463
2018-02-24,31,Fear,53.142857142857146,43.291666666666664,15.805363767073638
2018-02-25,33,Fear,48.857142857142854,42.88,16.7275079975926
2018-02-26,37,Fear,44.57142857142857,42.65384615384615,15.06493879683491
2018-02-27,44,Fear,40.285714285714285,42.7037037037037,7.8254773169498195
2018-02-28,41,Fear,38.42857142857143,42.642857142857146,5.094347941825521
2018-03-01,38,Fear,37.57142857142857,42.48275862068966,4.466808810815831
2018-03-02,47,Neutral,38.714285714285715,42.63333333333333,5.736267244886944
2018-03-03,56,Greed,42.285714285714285,43.5,7.60951784969079
2018-03-04,44,Fear,43.857142857142854,44.46666666666667,6.414269805898247
2018-03-05,55,Greed,46.42857142857143,44.96666666666667,6.803360514166143
2018-03-06,59,Greed,48.57142857142857,46.13333333333333,8.14160391358576
2018-03-07,37,Fear,48.0,47.0,8.86942313043342
2018-03-08,39,Fear,48.142857142857146,48.03333333333333,8.687703406320404
2018-03-09,37,Fear,46.714285714285715,48.06666666666667,9.673232581274435
2018-03-10,39,Fear,44.285714285714285,48.36666666666667,9.068522219088178
2018-03-11,40,Fear,43.714285714285715,48.233333333333334,9.214377998799629
2018-03-12,41,Fear,41.714285714285715,47.8,7.7613204571191385
2018-03-13,41,Fear,39.142857142857146,48.13333333333333,1.6761634196953001
2018-03-14,40,Fear,39.57142857142857,48.06666666666667,1.397276262011838
2018-03-15,32,Fear,38.57142857142857,47.96666666666667,3.2071349029492247
2018-03-16,33,Fear,38.0,47.233333333333334,3.8297084310254657
2018-03-17,31,Fear,36.857142857142854,45.9,4.598136268408979
2018-03-18,29,Fear,35.285714285714285,44.63333333333333,5.186980037050734
2018-03-19,29,Fear,33.57142857142857,43.13333333333333,4.961758520831961
2018-03-20,37,Fear,33.0,42.266666666666666,4.123105625617778
2018-03-21,36,Fear,32.42857142857143,41.233333333333334,3.1547394428671804
2018-03-22,36,Fear,33.0,39.96666666666667,3.4156502553200063
2018-03-23,28,Fear,32.285714285714285,39.1,3.903600291794258
2018-03-24,32,Fear,32.42857142857143,38.7,3.8668308667928475
2018-03-25,30,Fear,32.57142857142857,38.4,3.735288603626489
2018-03-26,31,Fear,32.857142857142854,38.4,3.484660262185986
2018-03-27,24,Extreme Fear,31.0,38.1,4.281744192888494
2018-03-28,24,Extreme Fear,29.285714285714285,37.666666666666664,4.347960660443348
2018-03-29,18,Extreme Fear,26.714285714285715,36.8,4.99046710286352
2018-03-30,12,Extreme Fear,24.428571428571427,35.833333333333336,7.390470053998514
2018-03-31,16,Extreme Fear,22.142857142857142,35.1,7.128079952520529
2018-04-01,16,Extreme Fear,20.142857142857142,34.06666666666667,6.491753010001109
2018-04-02,11,Extreme Fear,17.285714285714285,32.56666666666667,5.18698003705078
2018-04-03,22,Extreme Fear,17.0,31.833333333333332,4.795831523312867
2018-04-04,22,Extreme Fear,16.714285714285715,30.733333333333334,4.347960660443392
2018-04-05,17,Extreme Fear,16.571428571428573,29.333333333333332,4.314979445959048
2018-04-06,19,Extreme Fear,17.571428571428573,28.733333333333334,3.866830866792903
2018-04-07,20,Extreme Fear,18.142857142857142,28.1,3.891382420536245
2018-04-08,17,Extreme Fear,18.285714285714285,27.433333333333334,3.8172540616822914
2018-04-09,21,Extreme Fear,19.714285714285715,26.833333333333332,2.138089935299708
2018-04-10,18,Extreme Fear,19.142857142857142,26.1,1.9518001458974128
2018-04-11,20,Extreme Fear,18.857142857142858,25.4,1.573591584939318
2018-04-12,18,Extreme Fear,19.0,24.633333333333333,1.414213562373574
2018-04-13,23,Extreme Fear,19.571428571428573,24.066666666666666,2.070196678027386
2018-04-17,26,Fear,20.428571428571427,23.866666666666667,3.2071349029492975
2018-04-18,24,Extreme Fear,21.428571428571427,23.566666666666666,3.047247001100431
2018-04-19,25,Fear,22.0,23.366666666666667,3.3166247903555908
2018-04-20,26,Fear,23.142857142857142,23.266666666666666,3.0783421635990558
