date,symbol,win_rate,pnl_sum,pnl_mean,volume_tokens,fees_sum,trade_value_sum,trades
2023-04-30,ETH,,0.0,0.0,0.25129999999999997,0.0,476.99281,3
2023-12-04,BTC,,0.0,0.0,0.59711,6.249655,24998.62226,2
2023-12-04,ETH,,0.0,0.0,11.2119,6.251799999999999,25007.20691,7
2023-12-13,BTC,0.0,-527.2331300000001,-263.61656500000004,0.59711,6.381460000000001,25525.84039,2
2023-12-13,ETH,100.0,245.428491,245.428491,11.2119,6.31314,25252.562370000003,1
2023-12-14,AAVE,100.0,76.369902,12.728316999999999,522.48,12.959901000000002,51839.61791,6
2023-12-14,JTO,0.0,-24.632033999999997,-6.158008499999999,7116.0,5.298819,21195.2808,4
2023-12-16,ETH,100.0,28.798560000000002,5.759712,27.2486,15.293662000000001,61174.65695999999,5
2023-12-16,PYTH,100.0,300.909537,50.1515895,79794.0,7.749599,30998.405889999998,6
2023-12-17,MATIC,0.0,-24.725312000000002,-4.120885333333333,46322.200000000004,9.863427000000001,39453.716610999996,6
2023-12-18,ETH,,0.0,0.0,14.306,7.791045,31164.1856,2
2023-12-19,ETH,100.0,844.61374,281.53791333333334,14.306000000000001,8.002164,32008.66108,3
2023-12-19,SEI,100.0,155.924872,12.993739333333332,161532.0,14.898432,59593.75131000001,12
2023-12-19,TIA,100.0,61.74006200000001,6.1740062,6884.2,20.328551,81314.222,10
2023-12-20,ILV,94.44444444444444,129.277454,3.9174986060606063,909.8600000000001,20.784864,83139.52257999999,33
2023-12-20,SEI,100.0,100.99222,12.6240275,167636.0,15.080636,60322.56083,8
2023-12-21,BTC,,0.0,0.0,0.67455,7.384295,29537.187049999997,5
2023-12-21,ILV,100.0,407.933948,25.49587175,454.44,10.523605,42094.45649,16
2023-12-22,BTC,100.0,141.832675,70.9163375,0.67455,7.41974,29678.960619999998,2
2023-12-22,SEI,100.0,73.525312,7.3525312,139216.0,12.176674000000002,48706.717959999994,10
2023-12-22,TIA,100.0,73.411392,12.235232000000002,4898.8,14.847412,59389.6602,6
2023-12-23,BTC,33.33333333333333,-9.577028,-1.0641142222222222,3.43356,37.510086,150040.35259,9
2023-12-23,ETH,,0.0,0.0,21.808999999999997,12.48238,49929.5246,3
2023-12-23,PYTH,100.0,493.16452,44.83313818181818,141860.0,12.935744,51742.99382999999,11
2023-12-23,SEI,100.0,407.747112,33.978926,142774.0,12.798265,51193.08794,12
2023-12-24,BTC,100.0,3.878552,1.2928506666666666,1.14452,12.501508000000001,50006.0373,3
2023-12-24,ETH,50.0,-131.674548,-32.918637,48.190200000000004,27.497857000000003,109991.43642,4
2023-12-26,PYTH,100.0,790.0414470000001,87.78238300000001,152046.0,12.791529,51166.13125,9
2023-12-27,PYTH,0.0,-413.952006,-34.4960005,181008.0,15.25386,61015.462470000006,12
2023-12-27,SEI,0.0,-1080.978668,-154.425524,122486.0,14.807357999999999,59229.44236,7
2023-12-28,PYTH,0.0,-385.489496,-42.83216622222222,153184.0,12.478812000000001,49915.26612,9
2023-12-28,SEI,0.0,-585.24138,-41.802955714285716,110568.0,12.550488,50201.979029999995,14
2023-12-28,TIA,100.0,151.929012,8.937000705882353,8575.4,25.377632000000002,101510.5643,17
2023-12-29,BTC,80.0,-200.417538,-16.7014615,7.4112599999999995,78.178884,312715.55802999996,12
2023-12-29,ETH,42.857142857142854,164.25275399999998,5.4750917999999995,108.7719,62.65355499999999,250614.28502,30
2023-12-29,PYTH,100.0,333.89414,41.7367675,158240.0,12.82778,51311.13896,8
